Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Rashard Mendenhall,PIT,RB,16,0,0,0,1108,7,25,261,1,3,11.2,178.9
Sidney Rice,MIN,WR,16,0,0,0,0,0,83,1312,8,1,11.1,177.2
Brandon Marshall,DEN,WR,15,0,0,0,39,0,101,1120,10,0,11.7,175.9
DeAngelo Williams,CAR,RB,13,0,0,0,1117,7,29,252,0,3,13.5,174.9
Vernon Davis,SF,TE,16,0,0,0,0,0,78,965,13,0,10.9,174.5
Cedric Benson,CIN,RB,13,0,0,0,1251,6,17,111,0,0,13.2,172.2
Vincent Jackson,LAC,WR,15,0,0,0,11,0,68,1167,9,0,11.5,171.8
Dallas Clark,IND,TE,16,0,0,0,11,0,100,1106,10,0,10.7,171.7
Fred Jackson,BUF,RB,16,27,1,0,1062,2,46,371,2,2,10.5,168.38
Steve Smith,NYG,WR,16,0,0,0,0,0,107,1220,7,0,10.2,164
Matt Cassel,KC,QB,15,2924,16,16,189,0,0,0,0,3,10.9,163.86
